Airport,Rank
ATL,0.10219449444721919
ORD,0.08869747253419517
DFW,0.08213486341414834
DEN,0.06375812423969664
CLT,0.06236724417787905
LAX,0.056137343357078734
IAH,0.047458546158623445
PHX,0.04702751490575612
SFO,0.043799892568586636
MSP,0.043668600064811436
LGA,0.042675310415306006
DTW,0.04178398343161601
LAS,0.041707511876802904
MCO,0.037638752709640226
DCA,0.03657882114529283
BOS,0.03444882545060932
SEA,0.034291179806892336
SLC,0.03335108426026391
EWR,0.03244328410327979
JFK,0.032117437623422576
PHL,0.02855571733112691
FLL,0.027623397308700812
MIA,0.024549102758358525
BWI,0.023811083625950535
SAN,0.023105987712692164
TPA,0.020441225473266825
MDW,0.019602107543738943
DAL,0.01913339229043999
BNA,0.019064672648082003
IAD,0.016881359479779375
STL,0.016503138499374605
HOU,0.015561671359262537
AUS,0.01535540050800299
SJC,0.015144265660274343
PDX,0.015060395366368275
RDU,0.014669860720931224
MSY,0.014192147558539972
MCI,0.013947902728988963
HNL,0.01389055683777099
OAK,0.013105773749009212
SMF,0.012464693591746139
PIT,0.01234586116573736
IND,0.012274719017715274
CLE,0.012137205812898427
RSW,0.012097555119748284
CVG,0.011865415626162458
CMH,0.01148863744639211
SNA,0.010819057123555704
SAT,0.010301877965357465
ANC,0.008850736377658572
JAX,0.008546309038444467
MKE,0.00802599275698995
PBI,0.007861162615976771
BDL,0.007592090442033094
BUR,0.007473619536660316
SJU,0.007309112713907571
OGG,0.007107261365580556
OMA,0.006764325403378683
MEM,0.006358918899417418
RIC,0.00631306212421253
OKC,0.006230880601718816
ORF,0.006227686890653587
BUF,0.006081027669036977
TUS,0.005958807627182031
SDF,0.005924888891143769
ABQ,0.005674903355749852
CHS,0.005494482436036415
ONT,0.005429106661524224
GRR,0.005323027329723178
BOI,0.005318833869348989
RNO,0.0050842262320996675
SFB,0.004915656722093942
TUL,0.004815701240154703
DSM,0.004780320846476322
BHM,0.004723245174317952
TYS,0.004715951083448942
PSP,0.004526724591883385
ELP,0.004494930143394132
PVD,0.004458052022607915
KOA,0.0042315300608347815
GSO,0.00419652471465874
GSP,0.004117183105272989
LGB,0.004061234839723385
LIH,0.004000743372785729
SAV,0.003920415882761796
SYR,0.0039028193484907893
ROC,0.0037933700946407916
XNA,0.0037371749227915916
DAY,0.0037307780653719775
LIT,0.0036482302053757925
MSN,0.0036401057249707608
ALB,0.0034172510408810777
FAT,0.0033985848524105775
PIE,0.003383854645627015
AZA,0.0033728434793875318
GEG,0.0033307574860165397
ASE,0.0032954231528753673
JNU,0.0032803714911829344
HPN,0.0031933918514333486
PNS,0.00317807567658643
ICT,0.003010662540107645
LEX,0.0029863449658178954
CID,0.0028558222424360158
CHA,0.0028278310742769685
PGD,0.0026755577964710127
COS,0.002671304443127247
MAF,0.002641651100215767
SGF,0.002627843493773877
HSV,0.0026202512418955
PWM,0.0025744642982827417
BTV,0.0025670808980462556
AVL,0.0024949650173022283
JAN,0.0024696671304790226
SRQ,0.0024685742368910383
FSD,0.002466788080725711
FAI,0.0024393474761285885
FWA,0.0023777864324821627
BTR,0.0023480161849720902
SBN,0.002339385020077371
CAE,0.0023302816596394863
BZN,0.002295418747404398
MHT,0.0022296903281892174
MYR,0.0021688576608858076
SBA,0.0021109938250729607
LBB,0.002099486758932581
MDT,0.0020941668127507675
ILM,0.002093239863769401
CAK,0.002063634567235917
SHV,0.0020498336694994403
EYW,0.0020471267469803272
VPS,0.002045202567921205
ITO,0.001984095960495232
FAR,0.00195689048187846
TLH,0.001926455295361131
EGE,0.001919451799957405
MLI,0.0018763935295227714
CHO,0.0018559937170710863
KTN,0.0018383143574406363
ISP,0.0018156311083460837
CRP,0.001803875529321835
ECP,0.001803317423091408
MOB,0.00178009882926736
ATW,0.0017798688141126727
AMA,0.0017394038450234941
LFT,0.0017357888786952384
MFE,0.001734779656542138
JAC,0.001731237940684838
PIA,0.0016924512022685654
SBP,0.0016704676749765824
ABE,0.001634515036493691
GPT,0.0015786845474624906
GRB,0.001569727854795067
GUM,0.0015684463588148518
EVV,0.0015453396792667058
MRY,0.0015232857354493636
GNV,0.0015135115663329167
FNT,0.0014775916821629714
BIS,0.0014770356307896532
MFR,0.001476514371449168
AGS,0.0014694068621979143
STT,0.0014645790341626017
CRW,0.0014533810972915922
HRL,0.0014227148131450964
RST,0.001411896402473396
SGU,0.0014072251722057334
EUG,0.0014070772733876026
RAP,0.0013739812559606015
MGM,0.0013484963219869588
GJT,0.0013447881999984965
MEI,0.001329425092816514
BIL,0.0013284931964049787
ACY,0.0013275143221468193
WRG,0.0012559507606938868
RDM,0.0012538815212502924
PSG,0.0012528678658691923
LAN,0.0012381583077406015
GRK,0.0012379709174398879
FAY,0.0012374338516036257
AEX,0.0012341545889509866
HDN,0.0012316829717738654
OAJ,0.0012306916428181038
DAB,0.001220761159315455
SIT,0.0012164838402477023
BMI,0.0012159321523701864
HYS,0.001212952063891981
SPN,0.0012034672098922088
DRO,0.0011909651526616424
YAK,0.0011882916768063264
AVP,0.0011681215463055263
TVC,0.0011635326104320917
MLU,0.0011610519798937401
MSO,0.0011582449262022751
PAH,0.0011394556729920728
JMS,0.0011362098230592275
CDV,0.0011256807843306612
ROA,0.0011236173001433229
MTJ,0.0010882252150656649
CMI,0.001078888429456562
MLB,0.001076109888982902
FCA,0.001066032718450143
BGR,0.0010572116475896906
DVL,0.0010568104269010718
SLN,0.0010529125034355823
CWA,0.0010479843453774277
BLI,0.0010468628800397988
LRD,0.0010443118214423504
MBS,0.0010433148824798117
SUN,0.001042607697334804
TOL,0.0010414494576771282
BRW,0.0010357835419329076
TTN,0.0010353711075712624
COU,0.0010342999853773225
BRO,0.0010295944699637806
GFK,0.001025616826998117
DLH,0.0010178952857412302
CLL,0.001010441929559085
CGI,0.0010054880343413268
BQN,0.0010023275485145913
TRI,9.993449935401196E-4
ABI,9.928632328775667E-4
EWN,9.872178860902622E-4
BFL,9.786680193517464E-4
FSM,9.700723167737708E-4
LCH,9.660593784133661E-4
OME,9.551932246261703E-4
MOT,9.457598268525404E-4
PUB,9.456222491421014E-4
SCC,9.451148117691229E-4
LSE,9.217675078556168E-4
PIB,9.203449252298612E-4
PSC,9.185661319058783E-4
IDA,9.050724150213251E-4
AZO,9.049436718083679E-4
STS,8.85287473496927E-4
MHK,8.820758580115175E-4
SJT,8.777055696652706E-4
PLN,8.774548070167047E-4
SPI,8.689518774497456E-4
SWF,8.562591258254911E-4
BET,8.517763531477925E-4
GTF,8.494147791918465E-4
OTZ,8.408916793817469E-4
PBG,8.324869300609037E-4
LNK,8.32473060694181E-4
ACV,8.191808715898001E-4
TYR,8.151914096357379E-4
ACT,8.151914096357379E-4
SUX,8.02763337724454E-4
SAF,8.006275672702617E-4
LBL,7.981051313527266E-4
HLN,7.966241327676308E-4
PHF,7.896926576810789E-4
GRI,7.857566516642006E-4
DHN,7.843858237505525E-4
ROW,7.825797916321217E-4
FLG,7.811192956761503E-4
LAW,7.789990011975871E-4
YUM,7.75177530135715E-4
USA,7.648665624643161E-4
APN,7.638212721121425E-4
ADQ,7.502012701909254E-4
PIH,7.402202393263799E-4
MQT,7.320427420622016E-4
BLV,7.291084364680249E-4
TWF,7.2702908974506E-4
SPS,7.230652790658997E-4
RDD,7.19859962918328E-4
TXK,7.197750601169768E-4
SCE,7.185447100237934E-4
DBQ,7.160051502318487E-4
MMH,7.152832693711819E-4
ORH,7.047119811924459E-4
HHH,7.009052120967604E-4
BPT,7.000337464234401E-4
VLD,6.989590868695431E-4
RFD,6.944047258010323E-4
STX,6.921408526076174E-4
BQK,6.898062222037208E-4
ABY,6.898062222037208E-4
CSG,6.867552673151132E-4
GTR,6.867552673151132E-4
PVU,6.754949100726338E-4
ERI,6.752424175281511E-4
LBE,6.711435923191086E-4
CKB,6.681900137481859E-4
UIN,6.584123131407224E-4
CPR,6.571350778117395E-4
ITH,6.555912272936419E-4
IAG,6.486399276527046E-4
ISN,6.481073677768516E-4
LWS,6.445844048618111E-4
LCK,6.428831247005166E-4
SWO,6.408098053428297E-4
ABR,6.387730329852169E-4
BJI,6.387730329852169E-4
RHI,6.387730329852169E-4
GCK,6.37519586393907E-4
JLN,6.37519586393907E-4
HVN,6.363761346987951E-4
DRT,6.342293674449842E-4
RKS,6.313705715467726E-4
CMX,6.281227515341563E-4
EAU,6.281227515341563E-4
MKG,6.281227515341563E-4
GGG,6.276489295471386E-4
BGM,6.275352321398371E-4
COD,6.249884889665766E-4
EKO,6.247976804898313E-4
BTM,6.247976804898313E-4
PRC,6.228212642452788E-4
CIU,6.220224559719204E-4
IMT,6.220224559719204E-4
GCC,6.217974476764785E-4
PSE,6.161500638143035E-4
SCK,6.158096512662011E-4
ART,6.154211566845638E-4
BRD,6.122895463497945E-4
HIB,6.122895463497945E-4
CDC,6.116065309085115E-4
SHD,6.113197684888654E-4
HOB,6.090352177905051E-4
INL,6.089791105203668E-4
EAR,6.058422412259883E-4
BFF,6.058422412259883E-4
LAR,6.058422412259883E-4
LBF,6.058422412259883E-4
ESC,6.05271878958624E-4
ALO,6.030134947633868E-4
VEL,6.026511999358903E-4
CNY,5.994601586457923E-4
ELM,5.993400457268259E-4
LWB,5.938582628978548E-4
PSM,5.8772313630161E-4
LYH,5.824076118591857E-4
GUC,5.767104564021542E-4
HTS,5.51968284920566E-4
STC,5.434817775139755E-4
CYS,5.355227989773003E-4
OTH,5.259880166865964E-4
OGS,4.978855088653694E-4
HGR,4.961060898545757E-4
OWB,4.898480820251874E-4
ADK,4.873010554790348E-4
OGD,4.861495936160985E-4
SMX,4.8362194292550596E-4
PPG,4.6943726390205045E-4
